LecturerID,LecturerName,Department,Rank
1,Dr. Patricia Ogundimu,Electrical Engineering,Mid
2,Dr. Victor Chinedu,Electrical Engineering,Mid
3,Dr. Frank Okafor,Mechanical Engineering,Senior
4,Dr. Tunde Balogun,Computer Science,Junior
5,Dr. Kemi Thomas,Computer Science,Senior
6,Dr. Kemi Garba,Computer Science,Senior
7,Dr. James Balogun,Mechanical Engineering,Senior
8,Dr. Zainab Salami,Mechanical Engineering,Senior
9,Dr. Musa Nwosu,Computer Science,Mid
10,Dr. Fatima Hussaini,Computer Science,Junior
11,Dr. Victor Fashola,Mechanical Engineering,Mid
12,Dr. Uche Balogun,Mechanical Engineering,Mid
13,Dr. Tunde Rufai,Computer Science,Mid
14,Dr. Musa Okafor,Computer Science,Junior
15,Dr. Grace Kalu,Computer Science,Junior
16,Dr. Patricia Mohammed,Mechanical Engineering,Mid
17,Dr. Yemi Rufai,Mechanical Engineering,Junior
18,Dr. Musa Akintoye,Computer Science,Mid
19,Dr. Adebayo Thomas,Electrical Engineering,Senior
20,Dr. James Mohammed,Computer Science,Mid
21,Dr. Frank Babatunde,Electrical Engineering,Junior
22,Dr. Chidi Yakubu,Electrical Engineering,Mid
23,Dr. Uche Fashola,Mechanical Engineering,Senior
24,Dr. Stella Okafor,Computer Science,Senior
25,Dr. Stella Chukwu,Electrical Engineering,Junior
26,Prof. James Mohammed,Computer Science,Senior
27,Prof. A Frank Babatunde,Electrical Engineering,Mid
28,Dr. Slot Yakubu,Electrical Engineering,Mid
29,Dr. Liam  Fashola,Mechanical Engineering,Senior
30,Dr. Delap Okafor,Computer Science,Senior
31,Dr. Palmer Chukwu,Electrical Engineering,Junior
32,Bawa Y.O,Computer Science,Professor
